Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
967.78,0.815952,354269,112,0,10968.8,10968.8,911.25,911.25,984.375,984.375,731.25,731.25,1.99327e+06,1.99327e+06,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
