Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
481.226,0.798679,481377,12,0,20109.4,1670.62,1804.69,1340.62,4.96513e+06,0,0,12,0,0,0,0,0.715265,1.00904,1.08259,0.798679,40218.8,3341.25,3609.38,2681.25,9.93026e+06,907.283,9.98011e+06
