Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,586.589,0.427637,395836,11,0,3,1768.17,335292,0.289,0,13650,18590,7290,1134,1225,7875,5850,910,2953119,15092190,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,586.595,0.476405,395836,11,0,2,1266.95,695854,0.196,0,15600,18460,4860,1296,1400,5250,3900,1040,2567376,20878335,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,586.557,0.515735,395836,11,0,1,5865.57,355994,0.159,0,17550,18330,2430,1458,1575,2625,1950,1170,3603181,5341260,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
3,586.658,0.695709,395836,11,0,2,1061.44,346417,0.133,0,15600,18460,4860,1296,1400,5250,3900,1040,3266251,10395210,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
4,586.592,0.500814,395836,11,0,1,5713,316674,0.066,0,17550,18330,2430,1458,1575,2625,1950,1170,3642501,4751460,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
5,586.669,0.841061,395836,11,0,0,0,0,0.054,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6,586.638,0.692629,395836,11,0,0,0,0,0.029,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
7,586.632,0.691152,395836,11,0,0,0,0,0.016,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8,586.661,0.904384,395836,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
9,586.652,0.863935,395836,11,0,1,286.083,195278,0.012,0,17550,18330,2430,1458,1575,2625,1950,1170,3763897,2930520,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
10,586.664,0.823856,395836,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
11,586.635,0.691592,395836,11,0,0,0,0,0.009,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
12,586.673,0.85408,395836,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
13,586.655,0.812363,395836,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
14,586.666,0.771546,395836,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
15,586.676,0.939199,395836,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
